,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Built_up_area,Carpet_area,Super_built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
0,house,bptp visionnaire,sector 70,5.25,20115.0,2610.0,Plot area 290(242.48 sq.m.),5,4,4,3.0,North-East,New Property,2609.0,,,0,1,0,0,0,unfurnished,53
1,house,independent,sector 43,2.1,38251.0,549.0,Plot area 61(51 sq.m.),10,10,4,5.0,West,New Property,549.0,,,0,1,0,0,0,unfurnished,26
2,house,independent,sector 54,5.0,43066.0,1161.0,Plot area 129(107.86 sq.m.),21,21,4,5.0,North,Relatively New,1161.0,,,0,1,0,0,0,semifurnished,53
3,house,independent,sector 43,3.0,53763.0,558.0,Plot area 62(51.84 sq.m.),12,12,4,5.0,West,New Property,558.0,,,0,0,0,0,1,semifurnished,26
4,house,independent,sector 43,4.5,39062.0,1152.0,Plot area 128(107.02 sq.m.),20,20,4,4.0,East,Relatively New,1152.0,,,0,1,0,0,0,semifurnished,26
5,house,emaar mgf marbella,sector 66,12.0,37037.0,3240.0,Plot area 360(301.01 sq.m.),5,5,4,3.0,East,New Property,3239.0,,,0,1,1,1,0,semifurnished,124
6,house,luxury dlf city floors,sector 26,20.0,48889.0,4091.0,Plot area 500(418.06 sq.m.),16,16,4,4.0,,New Property,4498.0,,,0,1,0,0,0,furnished,30
7,house,independent,sector 25,10.85,38150.0,2844.0,Plot area 316(264.22 sq.m.),6,6,1,3.0,North-East,Relatively New,2843.0,,,0,0,1,0,0,unfurnished,157
8,house,sushant lok 1 builder floors,sector 43,1.95,10077.0,1935.0,Plot area 215(179.77 sq.m.),3,4,4,4.0,West,New Property,1934.0,,,0,1,0,0,0,furnished,81
9,house,independent,sector 25,4.45,32963.0,1350.0,Plot area 150(125.42 sq.m.),4,3,4,2.0,West,Moderately Old,1350.0,,,0,0,1,0,0,unfurnished,104
10,house,independent,sector 28,9.0,27778.0,3240.0,Plot area 360(301.01 sq.m.),6,7,4,3.0,North,Moderately Old,3239.0,,,1,1,1,1,0,unfurnished,79
11,house,dlf city plots phase 3,sector 24,5.0,34083.0,1467.0,Plot area 163(136.29 sq.m.),13,13,4,4.0,North,New Property,1466.0,,,0,0,0,1,0,semifurnished,104
12,house,independent,sector 26,15.0,33200.0,4518.0,Plot area 502(419.74 sq.m.),5,6,4,3.0,North,Moderately Old,4516.0,,,1,1,1,1,0,furnished,89
13,house,independent,sector 43,8.25,30556.0,2700.0,Plot area 300(250.84 sq.m.),5,6,4,3.0,West,Moderately Old,2699.0,,,1,1,1,1,0,furnished,77
14,house,dlf city plots phase 2,sector 25,10.75,29861.0,3600.0,Plot area 400(334.45 sq.m.),9,9,4,3.0,South-West,Old Property,3599.0,,,0,1,1,1,0,unfurnished,72
15,house,independent,sector 38,2.1,23333.0,900.0,Plot area 100(83.61 sq.m.),7,7,4,3.0,North-East,Relatively New,900.0,,,1,0,1,1,0,unfurnished,27
16,house,unitech espace,sector 50,7.35,41762.0,1760.0,Plot area 240(200.67 sq.m.),4,4,4,3.0,South,Moderately Old,2159.0,,,0,1,0,1,0,semifurnished,52
17,house,independent,sector 49,4.45,15451.0,2880.0,Plot area 320(267.56 sq.m.),6,6,3,3.0,North,Moderately Old,2879.0,,,1,1,1,1,0,semifurnished,181
18,house,independent,sector 9,3.4,12938.0,2628.0,Plot area 292(244.15 sq.m.),9,9,3,3.0,West,Moderately Old,2627.0,,,0,0,0,0,0,furnished,66
19,house,emaar mgf marbella,sector 66,12.0,38095.0,3150.0,Plot area 350(292.64 sq.m.),5,6,4,3.0,North-East,Relatively New,3149.0,,,0,1,1,0,0,unfurnished,174
20,house,independent,sector 48,8.4,25926.0,3240.0,Plot area 360(301.01 sq.m.),4,4,3,2.0,,Old Property,3239.0,,,0,1,0,1,0,semifurnished,18
21,house,vipul tatvam villa,sector 48,8.5,26235.0,3240.0,Plot area 360(301.01 sq.m.),4,4,2,,East,Moderately Old,3239.0,,,0,1,1,1,0,unfurnished,100
22,house,independent,sector 25,7.6,38760.0,1961.0,Plot area 215(179.77 sq.m.),9,9,3,4.0,East,Relatively New,1934.0,,,1,0,1,1,0,semifurnished,89
23,house,ansal sushant lok plots,sector 43,7.0,25926.0,2700.0,Plot area 300(250.84 sq.m.),5,5,4,3.0,North-East,Relatively New,2699.0,,,1,1,0,1,0,semifurnished,47
24,house,grover homes sec 4,sector 4,4.75,9374.0,5067.0,Plot area 563(470.74 sq.m.),5,5,1,1.0,South-East,Old Property,5065.0,,,1,1,0,1,0,semifurnished,41
25,house,independent,sector 9,3.5,13410.0,2610.0,Plot area 290(242.48 sq.m.),9,9,4,3.0,North-East,Relatively New,2609.0,,,1,0,0,0,0,unfurnished,29
26,house,independent,sector 40,5.0,21124.0,2367.0,Plot area 263(219.9 sq.m.),9,9,4,3.0,North-West,Moderately Old,2366.0,,,0,1,1,0,0,furnished,83
27,house,independent,sector 50,10.56,32593.0,3240.0,Plot area 360(301.01 sq.m.),5,5,3,3.0,,Moderately Old,3239.0,,,0,1,0,0,0,unfurnished,19
28,house,ansal api esencia,sector 67,5.46,24170.0,2259.0,Plot area 251(209.87 sq.m.),4,5,4,2.0,East,Relatively New,2258.0,,,1,0,1,1,0,semifurnished,114
29,house,independent,sector 25,10.0,37037.0,2700.0,Plot area 300(250.84 sq.m.),5,6,3,3.0,North,Old Property,2699.0,,,0,1,1,0,0,semifurnished,74
30,house,independent,sector 25,9.0,28490.0,3159.0,Plot area 351(293.48 sq.m.),10,10,3,3.0,East,Old Property,3158.0,,,0,0,0,1,0,semifurnished,74
31,house,independent,sector 7,1.95,13542.0,1440.0,Plot area 160(133.78 sq.m.),2,2,2,2.0,,Old Property,1439.0,,,0,0,0,0,0,unfurnished,0
32,house,independent,sector 57,3.3,19097.0,1728.0,Plot area 192(160.54 sq.m.),4,4,2,3.0,South-East,Moderately Old,1727.0,,,0,0,1,0,0,semifurnished,57
33,house,floor wise designer kothi,sector 25,13.0,48148.0,2700.0,Plot area 300(250.84 sq.m.),12,16,4,4.0,North-East,New Property,2699.0,,,1,1,1,1,0,furnished,156
34,house,suncity essel towers,sector 28,6.0,22222.0,2700.0,Plot area 300(250.84 sq.m.),4,4,4,3.0,East,Old Property,2699.0,,,1,0,0,0,0,semifurnished,103
35,house,independent,sector 25,9.0,33333.0,2700.0,Plot area 300(250.84 sq.m.),5,5,3,3.0,North,Old Property,2699.0,,,1,1,1,1,0,unfurnished,60
36,house,independent,sector 26,5.8,32222.0,1800.0,Plot area 200(167.23 sq.m.),5,5,4,2.0,North,Old Property,1799.0,,,1,1,1,1,0,unfurnished,64
37,house,independent,sector 55,7.49,27741.0,2700.0,Plot area 300(250.84 sq.m.),12,12,4,4.0,South-East,Relatively New,2699.0,,,1,1,0,1,0,semifurnished,53
38,house,independent,sector 43,13.5,50000.0,2700.0,Plot area 300(250.84 sq.m.),16,16,4,4.0,North-West,Relatively New,2699.0,,,1,1,0,1,1,unfurnished,47
39,house,independent,sector 56,11.95,43534.0,2745.0,Plot area 305(255.02 sq.m.),12,12,4,4.0,West,Relatively New,2744.0,,,0,1,0,0,0,semifurnished,26
40,house,independent,sector 56,12.39,45889.0,2700.0,Plot area 300(250.84 sq.m.),16,18,4,4.0,North-East,New Property,2699.0,,,0,1,0,1,0,semifurnished,53
41,house,independent,sector 25,6.25,34722.0,1800.0,Plot area 200(167.23 sq.m.),5,5,3,2.0,East,Moderately Old,1799.0,,,0,1,0,1,0,semifurnished,133
42,house,emaar mgf marbella,sector 66,,,,Plot area 350(292.64 sq.m.),5,5,4,3.0,East,Relatively New,3149.0,,,1,1,0,1,0,semifurnished,189
43,house,bptp visionnaire,sector 70,5.4,20690.0,2610.0,Plot area 290(242.48 sq.m.),4,5,4,3.0,North,Relatively New,2609.0,,,1,1,1,1,0,unfurnished,157
44,house,independent,sector 43,5.75,29716.0,1935.0,Plot area 215(179.77 sq.m.),4,4,2,2.0,North,Old Property,1934.0,,,0,1,1,1,0,unfurnished,42
45,house,independent,sector 2,2.55,16378.0,1557.0,Plot area 173(144.65 sq.m.),3,3,2,2.0,South,Old Property,1556.0,,,0,0,0,0,0,unfurnished,6
